

run#	sample	total#pairs	QCed#	%stitched	Unique#	%stitched	RefGenomeFiltered#	%unique	acyrthosiphon pisum virus	adenoviridae	alphaflexiviridae	anelloviridae	ascoviridae	asfarviridae	astroviridae	baculoviridae	begomovirus-associated alphasatellites	betaflexiviridae	caliciviridae	caulimoviridae	circoviridae	circular single stranded rna satellites	closteroviridae	dicistroviridae	dsdna viruses	environmental samples	geminiviridae	gemycircularvirus group	haloviruses	husa-like virus ks-2016a	hytrosaviridae	iflaviridae	iridoviridae	luteoviridae	marseilleviridae	mimiviridae	nodaviridae	partitiviridae	parvoviridae	permutotetraviridae	phycodnaviridae	picobirnaviridae	picornavirales	picornaviridae	pithovirus	polyomaviridae	potyviridae	poxviridae	reoviridae	retroviridae	secoviridae	single stranded dna satellites	smacovirusgroup	sobemovirus	southern bean mosaic virus	ssdna viruses	ssrna negative-strand viruses	ssrna positive-strand viruses	ssrna viruses	totiviridae	virgaviridae	viruses	
MiSeq_174	I2412_1_LNS_18_Project590_stool_Manary_GCE_Pediatric_Stool_1_LNS_18_initial_NA0000441917	1062323	 600718	  46.65	227989	  17.70	193868	  85.03	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	83	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	
MiSeq_174	I2413_8_LNS_37_Project590_stool_Manary_GCE_Pediatric_Stool_8_LNS_37_midstudy_NA0000496790	801158	 512635	  52.02	251050	  25.48	232862	  92.76	0	0	0	15	0	0	0	1	0	1	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	66	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1715	9	
MiSeq_174	I2414_15_LNS_49_Project590_stool_Manary_GCE_Pediatric_Stool_15_LNS_49_endstudy1_NA0000420953	442071	 287761	  50.06	70846	  12.32	70449	  99.44	0	171	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	104	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	377	71	
MiSeq_174	I2415_12_LNS_47_Project590_stool_Manary_GCE_Pediatric_Stool_12_LNS_47_endstudy1_NA0000426889	777511	 789156	  88.42	621883	  69.68	615400	  98.96	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	38	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	68	
MiSeq_174	I2416_13_LNS_49_Project590_stool_Manary_GCE_Pediatric_Stool_13_LNS_49_initial_NA0000434909	269719	 321362	  85.62	239464	  63.80	235785	  98.46	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	60	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	37	
MiSeq_174	I2417_18_LNS_51_Project590_stool_Manary_GCE_Pediatric_Stool_18_LNS_51_endstudy1_NA0000424860	547659	 373681	  46.73	59361	   7.42	57480	  96.83	0	13	0	6	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	91	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	7	
MiSeq_174	I2418_14_LNS_49_Project590_stool_Manary_GCE_Pediatric_Stool_14_LNS_49_midstudy_NA0000441976	326812	 166867	  34.19	30956	   6.34	29672	  95.85	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	104	
MiSeq_174	I2419_3_LNS_18_Project590_stool_Manary_GCE_Pediatric_Stool_3_LNS_18_endstudy1_NA0000422009	816734	 914434	  82.59	761035	  68.74	539743	  70.92	0	35	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	1	0	29	0	0	0	4	1	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	84	
MiSeq_174	I2420_10_LNS_47_Project590_stool_Manary_GCE_Pediatric_Stool_10_LNS_47_initial_NA0000420152	857889	 369244	  34.31	121504	  11.29	52274	  43.02	0	2396	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	31	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	682	
MiSeq_174	I2421_17_LNS_51_Project590_stool_Manary_GCE_Pediatric_Stool_17_LNS_51_midstudy_NA0000494512	610457	 268524	  28.03	51238	   5.35	46252	  90.27	0	4	0	4	0	0	1	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	74	0	0	0	0	0	0	126	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	
MiSeq_174	I2422_2_LNS_18_Project590_stool_Manary_GCE_Pediatric_Stool_2_LNS_18_midstudy_NA0000496410	524116	 496072	  75.16	309642	  46.91	292093	  94.33	0	4	0	1	0	0	0	0	0	1	0	0	9	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	134	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	193	
MiSeq_174	I2423_4_LNS_28_Project590_stool_Manary_GCE_Pediatric_Stool_4_LNS_28_initial_NA0000420138	540111	 481184	  74.22	340933	  52.58	255396	  74.91	0	3	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	2	0	27	1	0	0	1	0	0	454	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	4	0	349	
MiSeq_174	I2424_21_LNS_64_Project590_stool_Manary_GCE_Pediatric_Stool_21_LNS_64_endstudy1_NA0000426882	658778	 485856	  40.26	103701	   8.59	102585	  98.92	0	312	0	216	0	0	1041	0	0	695	0	2	0	0	7	0	0	13	0	0	0	0	0	0	0	0	0	0	28	0	0	0	0	0	0	512	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	7	37	
MiSeq_174	I2425_11_LNS_47_Project590_stool_Manary_GCE_Pediatric_Stool_11_LNS_47_midstudy_NA0000492137	896404	 762335	  57.30	205768	  15.47	201539	  97.94	0	195	0	63	0	0	0	0	0	2	0	0	81	0	0	31	0	18	0	1	0	0	0	0	2	0	3	0	27	0	9	0	0	2	0	4153	0	0	0	0	0	0	3	0	0	0	0	2	0	0	0	0	10	854	
MiSeq_174	I2426_7_LNS_37_Project590_stool_Manary_GCE_Pediatric_Stool_7_LNS_37_initial_NA0000441291	506607	 724176	  85.86	457545	  54.25	452523	  98.90	0	7	0	11	0	0	1	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	1	0	0	117	0	0	0	1	28	0	340	0	0	0	0	0	0	29	0	0	56	0	0	0	0	0	0	4	26	
MiSeq_174	I2427_19_LNS_64_Project590_stool_Manary_GCE_Pediatric_Stool_19_LNS_64_initial_NA0000434894	448431	 297637	  46.73	61172	   9.60	60097	  98.24	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	25	0	0	0	0	0	0	1458	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	
MiSeq_174	I2428_6_LNS_28_Project590_stool_Manary_GCE_Pediatric_Stool_6_LNS_28_endstudy1_NA0000420955	650447	1016565	  88.78	820262	  71.64	794208	  96.82	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	23	0	3	0	2	0	0	1100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	
MiSeq_174	I2429_5_LNS_28_Project590_stool_Manary_GCE_Pediatric_Stool_5_LNS_28_midstudy_NA0000487620	777943	1187781	  85.69	895966	  64.63	883440	  98.60	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	73	0	0	0	0	0	0	0	0	0	0	22	0	3	0	4	0	0	3245	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	195	
MiSeq_174	I2430_16_LNS_51_Project590_stool_Manary_GCE_Pediatric_Stool_16_LNS_51_initial_NA0000440680	491377	 588200	  80.41	260372	  35.60	206506	  79.31	0	0	0	24	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	36	0	0	0	0	0	0	29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	7991	
MiSeq_174	I2431_20_LNS_64_Project590_stool_Manary_GCE_Pediatric_Stool_20_LNS_64_midstudy_NA0000489343	709357	 346653	  41.48	96625	  11.56	92754	  95.99	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	40	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	3	
MiSeq_174	I2432_9_LNS_37_Project590_stool_Manary_GCE_Pediatric_Stool_9_LNS_37_endstudy1_NA0000422217	821358	 687791	  71.88	408348	  42.68	403823	  98.89	0	2	1	0	0	0	1	0	0	63	0	0	0	0	3	0	1	1	0	0	0	0	0	0	0	0	0	0	63	0	1	0	0	0	0	67	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	2	26	
MiSeq_175	I2434_22_LNS_67_Project590_TNA_Manary_GCE_Pediatric_Stool_22_LNS_67_initial_NA0000441943	851676	 838319	  81.02	600886	  58.08	586971	  97.68	0	1	0	1	0	0	2	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	73	0	7	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	170	
MiSeq_175	I2435_31_LNS_89_Project590_TNA_Manary_GCE_Pediatric_Stool_31_LNS_89_initial_NA0000418712	842853	 351674	  32.84	145818	  13.62	29855	  20.47	0	1	0	69	0	0	1095	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	37	0	4	0	1	0	0	210	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
