	Bifidobacterium_NA	Bifidobacterium_ruminantium	Clostridium_III_NA	Clostridium_XlVa_NA	Helicobacter_fennelliae	Megasphaera_NA	Olsenella_NA	Prevotella_NA	Treponema_NA
Caudovirales_Myoviridae_unclassified Myoviridae_Bacillus phage BCD7	NA	NA	NA	NA	NA	NA	NA	NA	NA
Caudovirales_Myoviridae_unclassified Myoviridae_Psychrobacter phage pOW20-A	NA	NA	NA	NA	NA	NA	NA	NA	NA
Caudovirales_Myoviridae_unclassified Myoviridae_Rhodothermus phage RM378	NA	NA	NA	NA	NA	NA	NA	NA	NA
Caudovirales_Podoviridae_unclassified Podoviridae_Pelagibacter phage HTVC010P	NA	NA	NA	NA	NA	NA	NA	NA	NA
Caudovirales_Podoviridae_unclassified Podoviridae_Pseudomonas phage AF	NA	NA	NA	NA	NA	NA	NA	NA	NA
Caudovirales_Siphoviridae_NA_NA	0.181693436	NA	NA	NA	NA	-0.034074962	NA	NA	0.309609412
Caudovirales_Siphoviridae_unclassified Siphoviridae_Clostridium phage phiCD111	NA	NA	NA	NA	NA	NA	NA	NA	NA
Caudovirales_Siphoviridae_unclassified Siphoviridae_Croceibacter phage P2559S	NA	NA	NA	NA	NA	NA	NA	NA	NA
Caudovirales_Siphoviridae_unclassified Siphoviridae_Croceibacter phage P2559Y	NA	NA	NA	NA	NA	NA	NA	NA	NA
Caudovirales_Siphoviridae_unclassified Siphoviridae_Listeria phage P40	NA	NA	NA	NA	NA	NA	NA	NA	NA
Caudovirales_Siphoviridae_unclassified Siphoviridae_NA	-0.242257915	NA	NA	NA	NA	-0.172808737	NA	NA	0.309609412
Caudovirales_unclassified Caudovirales_NA_NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Lactococcus phage_NA_NA_NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Microviridae_Gokushovirinae_Bdellomicrovirus_Bdellovibrio virus MH2K	NA	NA	NA	NA	NA	NA	NA	NA	NA
Microviridae_unclassified Microviridae_Microviridae phi-CA82_NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
unclassified bacterial viruses	-0.008258793	NA	NA	NA	NA	-0.484351248	NA	NA	0.378411504
unclassified dsDNA phages_Clostridium phage phiCT19406C_NA_NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
